cow_id,barn_number,age_months,feed_amount_kg,feed_protein_pct,water_intake_liters,barn_temperature_c,humidity_pct,walking_distance_m,vet_visit_count,milk_yield_liters
109,2,39,12.88,16.34,40.3,28.3,54.3,473.0,1,34.97
110,1,40,15.12,17.13,66.1,29.3,46.0,443.0,3,32.21
111,4,39,12.13,15.43,70.8,23.4,66.2,212.0,0,24.29
112,1,70,14.07,11.96,50.7,27.1,42.6,330.0,1,35.97
113,2,89,12.2,18.47,69.5,18.9,51.8,644.0,0,25.11
114,5,89,18.86,16.91,70.8,27.8,59.6,184.0,0,29.25
115,3,75,15.09,14.18,37.7,30.0,56.7,385.0,0,22.07
116,3,33,13.35,15.3,56.3,25.9,69.0,440.0,1,35.59
117,3,92,17.58,12.25,76.1,34.3,68.1,762.0,1,25.33
118,4,60,7.49,13.44,75.8,23.5,73.9,615.0,3,36.17
119,2,60,7.96,14.66,52.7,27.9,72.5,416.0,1,28.48
120,4,72,16.39,19.07,72.4,26.9,76.4,696.0,0,28.38
121,5,77,14.18,14.4,85.3,26.6,65.0,389.0,2,31.64
122,3,92,14.75,17.6,81.7,26.5,68.0,651.0,2,37.37
123,3,63,10.02,14.65,68.6,27.4,70.1,296.0,0,32.11
124,1,65,13.93,16.62,63.0,30.4,66.4,661.0,0,25.45
125,2,76,20.01,15.65,60.6,32.5,61.0,439.0,2,40.74
126,5,37,16.47,18.18,77.0,27.0,61.7,346.0,3,41.43
127,3,42,14.51,14.66,72.9,30.3,56.8,467.0,4,36.03
128,2,66,12.68,12.07,79.4,24.2,69.2,542.0,2,37.63
129,3,23,12.82,12.55,72.0,30.1,64.1,426.0,0,26.61
130,3,42,7.61,14.67,82.3,24.0,58.4,583.0,0,28.79
131,3,74,14.77,12.88,71.4,31.4,58.4,413.0,2,36.16
132,4,94,16.54,17.03,81.8,35.8,52.9,593.0,0,28.79
133,2,58,9.27,14.84,83.1,26.5,74.8,566.0,2,34.1
134,4,49,12.02,21.94,57.9,18.2,65.8,491.0,3,38.39
135,3,52,10.53,11.66,42.9,24.8,56.4,434.0,2,32.88
136,5,71,11.1,16.51,93.2,31.9,73.1,523.0,0,26.41
137,1,60,14.16,13.18,73.8,29.2,59.4,583.0,2,35.52
138,1,19,7.75,14.77,44.3,28.0,50.9,809.0,0,26.37
139,3,60,15.84,16.35,59.3,31.0,75.2,641.0,0,33.2
140,3,49,16.26,10.19,81.6,28.9,59.6,646.0,4,34.77
141,4,72,13.25,16.59,65.8,31.9,60.9,963.0,1,34.09
142,3,86,6.56,20.76,62.3,30.7,65.4,577.0,2,29.3
143,5,93,11.01,14.87,91.0,33.1,76.4,573.0,0,18.56
144,3,65,17.7,16.65,54.3,28.4,65.2,606.0,4,39.04
145,1,46,5.67,18.56,58.0,30.6,53.0,349.0,2,25.81
146,1,52,12.96,15.59,73.2,25.8,70.4,433.0,2,37.24
147,5,31,10.46,14.55,75.9,24.6,60.2,424.0,2,36.28
148,1,91,16.41,10.31,77.4,33.8,83.9,597.0,2,30.9
149,5,84,11.97,17.6,83.7,27.9,65.0,474.0,0,25.23
150,2,84,15.21,15.72,73.0,30.2,42.6,521.0,1,25.25
151,1,43,15.7,13.47,77.3,27.5,68.6,663.0,1,35.55
152,2,43,19.51,16.32,66.1,24.7,84.4,629.0,1,39.16
153,4,84,13.39,14.54,70.9,27.0,80.8,476.0,3,36.63
154,3,60,15.13,14.68,71.6,32.7,83.3,400.0,2,33.77
155,4,72,9.54,17.52,73.2,29.2,54.8,670.0,0,30.83
156,4,56,17.57,12.65,81.6,20.2,74.1,616.0,2,41.21
157,3,52,11.72,18.62,78.3,26.1,57.8,259.0,1,38.31
158,4,67,12.32,12.51,70.7,34.1,67.2,453.0,0,21.39
159,5,81,13.93,14.34,57.9,26.1,52.3,525.0,1,38.46
160,3,44,9.31,20.81,71.0,19.8,58.6,617.0,3,39.32
161,1,81,14.69,18.82,69.6,34.6,58.2,637.0,0,21.58
162,3,37,16.9,16.24,72.9,29.7,74.0,543.0,2,38.49
163,5,49,14.88,13.65,103.1,26.7,73.0,588.0,3,39.35
164,2,89,9.23,14.68,62.1,25.5,67.8,510.0,1,34.63
165,5,92,13.63,16.18,76.3,31.3,51.5,399.0,0,22.83
166,3,90,16.23,16.09,86.0,24.8,61.9,461.0,1,39.7
167,4,42,8.37,15.77,71.5,31.6,57.5,503.0,2,28.86
168,2,83,10.78,15.92,105.1,29.2,73.7,495.0,1,35.73
169,5,91,16.63,15.46,64.3,28.0,76.8,217.0,3,40.9
170,1,94,14.81,12.4,74.9,27.6,75.6,440.0,1,29.1
171,2,19,15.24,14.71,58.0,26.3,57.4,508.0,0,34.25
172,3,76,19.58,18.29,64.7,31.2,37.6,458.0,0,32.99
173,3,95,15.41,12.58,73.7,23.5,47.3,463.0,3,31.93
174,3,77,15.97,15.53,82.7,20.5,79.2,573.0,1,32.81
175,1,36,22.13,13.95,74.8,29.5,61.0,338.0,1,37.26
176,2,77,13.36,16.28,88.9,29.5,57.5,256.0,0,24.87
177,1,26,11.61,15.03,68.6,28.9,81.4,448.0,0,24.01
178,3,55,15.28,19.69,65.0,28.6,77.7,615.0,6,35.77
179,2,66,15.32,17.27,110.6,25.7,65.2,753.0,1,28.23
180,3,53,12.42,12.72,75.9,30.1,62.1,617.0,0,24.97
181,3,72,10.9,17.68,59.2,26.8,63.7,280.0,4,41.26
182,4,36,20.93,14.06,59.6,25.1,67.3,465.0,0,29.81
183,3,65,14.98,14.56,55.9,25.8,81.0,538.0,2,34.25
184,4,68,11.8,16.78,84.0,35.1,69.2,527.0,3,28.39
185,3,67,16.75,14.77,64.5,20.1,72.3,581.0,0,28.39
186,4,40,13.67,18.23,71.9,29.0,76.7,362.0,0,37.8
187,4,41,13.24,14.06,69.0,20.3,53.3,510.0,0,27.21
188,2,38,15.69,14.45,81.0,26.6,72.5,563.0,3,36.42
189,2,54,10.12,14.36,57.3,25.3,62.1,624.0,1,25.51
190,4,63,15.06,14.59,53.9,18.7,39.8,379.0,1,36.92
191,2,46,19.74,18.75,73.4,28.6,43.7,448.0,1,40.12
192,3,49,15.4,17.57,79.0,25.5,54.8,100.0,2,39.5
193,1,40,12.87,20.27,75.0,18.6,70.3,407.0,2,38.42
194,3,35,12.48,21.67,57.9,30.4,66.1,421.0,2,30.84
195,3,69,12.77,13.42,80.2,32.7,66.8,347.0,2,32.79
196,4,81,13.24,16.18,58.8,33.0,84.5,525.0,1,26.72
197,3,40,12.87,13.06,62.2,28.4,52.3,492.0,0,33.27
198,2,85,16.75,14.06,55.8,27.2,64.7,161.0,0,37.83
199,5,62,8.8,14.42,89.5,32.3,68.0,532.0,0,21.63
200,3,31,16.59,13.36,79.5,33.7,57.6,361.0,0,22.86
201,5,46,12.86,13.37,79.1,31.5,65.3,573.0,0,22.58
202,4,18,15.13,15.64,88.7,23.2,49.0,308.0,3,39.25
203,3,21,10.62,12.96,112.2,27.8,79.1,505.0,0,24.22
204,5,44,17.99,18.11,44.4,28.8,58.2,458.0,0,34.15
205,1,53,17.74,13.71,58.9,19.8,85.3,545.0,2,41.3
206,5,80,16.88,23.02,60.8,28.9,64.7,519.0,3,39.56
207,5,28,9.46,14.87,57.2,36.1,75.3,462.0,0,19.28
208,3,83,16.49,16.18,53.8,29.6,64.5,270.0,2,32.25
209,4,36,15.21,12.76,65.5,32.9,64.7,278.0,1,28.02
210,3,28,9.18,20.27,51.8,27.7,59.2,412.0,0,23.35
211,2,72,13.93,18.8,75.0,26.7,66.2,499.0,1,40.59
212,4,78,15.09,16.74,70.8,28.5,68.2,409.0,1,34.5
213,2,65,15.67,12.63,77.2,23.7,57.2,594.0,1,28.05
214,2,27,14.53,16.53,77.6,23.1,63.7,458.0,2,34.37
215,3,26,14.87,13.2,79.0,32.1,58.9,355.0,0,31.06
216,5,48,18.42,19.66,64.4,32.5,88.0,458.0,0,21.51
217,2,53,17.68,18.02,101.8,23.0,64.1,534.0,3,34.03
218,3,95,5.4,16.24,73.5,30.9,80.5,549.0,0,18.91
219,1,40,13.05,10.0,42.1,26.7,63.0,782.0,0,27.7
220,1,33,13.51,13.54,55.0,28.4,67.6,400.0,4,35.78
221,1,91,8.74,17.72,43.9,28.8,51.8,489.0,1,34.12
222,1,30,14.28,19.03,70.3,31.0,60.5,564.0,1,26.91
223,5,20,17.75,18.77,68.2,27.3,67.1,496.0,2,35.44
224,5,50,10.74,12.02,63.0,32.6,80.9,425.0,0,25.36
225,5,49,15.01,16.75,100.2,28.2,67.2,268.0,0,32.11
226,1,66,11.25,18.54,78.2,29.5,78.8,423.0,4,33.7
227,1,86,11.98,11.85,80.9,23.7,71.4,339.0,2,30.86
228,2,90,18.43,15.98,56.0,35.6,81.3,241.0,2,32.9
229,3,40,12.37,16.68,55.0,28.9,64.4,381.0,0,22.97
230,2,94,15.39,15.25,70.6,29.9,88.9,343.0,0,33.89
231,3,67,8.39,11.37,72.6,20.6,60.1,588.0,2,28.21
232,1,23,19.59,15.19,42.2,23.7,57.3,590.0,0,33.29
233,4,91,15.81,15.18,67.3,32.0,52.9,364.0,1,29.05
234,2,28,13.45,15.63,70.2,28.1,88.3,461.0,0,27.05
235,1,63,15.73,14.59,66.8,19.3,73.2,221.0,0,31.1
236,4,79,9.77,14.89,57.8,31.2,61.7,426.0,1,26.24
237,5,37,17.55,15.9,61.9,24.8,77.5,560.0,0,28.47
238,1,39,13.03,17.11,67.3,32.6,71.9,624.0,0,19.97
239,3,55,13.39,15.24,71.4,26.6,84.7,393.0,2,36.38
240,5,87,12.53,14.98,79.1,27.8,49.5,658.0,4,31.68
241,4,35,12.26,16.23,86.2,31.7,62.3,273.0,3,34.31
242,5,69,16.08,11.2,65.6,23.4,60.4,313.0,0,23.67
243,3,53,14.77,17.19,63.2,23.0,45.3,606.0,1,34.44
244,2,26,15.96,16.0,76.6,26.2,75.6,751.0,3,36.87
245,4,73,13.97,16.1,79.2,30.3,62.3,574.0,3,34.94
246,1,82,15.54,18.4,63.5,21.7,72.4,494.0,0,29.78
247,2,62,12.74,11.12,81.9,20.3,88.6,171.0,2,37.75
248,4,31,20.69,11.07,84.7,30.3,61.5,197.0,1,31.65
249,4,30,9.3,16.68,89.4,24.6,60.8,519.0,2,34.69
250,1,51,17.78,15.98,96.7,25.4,66.2,446.0,1,31.59
251,3,57,18.1,16.43,57.0,19.6,74.9,334.0,3,42.94
252,2,61,11.44,14.84,70.2,24.3,59.3,510.0,3,36.27
253,3,37,20.69,17.66,70.2,27.0,58.7,517.0,2,30.55
254,5,57,16.99,18.33,68.5,30.7,75.6,642.0,1,26.85
255,1,41,16.91,17.21,60.3,23.9,68.8,520.0,5,42.8
256,5,71,14.08,15.35,47.7,33.6,44.6,684.0,0,30.83
257,3,80,13.35,10.73,71.4,24.3,52.7,501.0,3,28.96
258,4,68,13.37,17.92,58.5,24.3,80.0,483.0,2,30.67
259,3,18,15.17,19.05,71.3,33.1,69.0,660.0,5,29.67
260,2,95,18.2,17.61,58.1,27.8,57.4,353.0,0,31.92
261,4,19,14.54,13.8,53.5,24.8,63.3,922.0,0,23.48
262,4,95,11.27,17.68,73.5,26.4,65.1,556.0,0,23.75
263,1,20,16.47,18.15,72.3,32.4,72.4,557.0,0,22.93
264,4,58,16.76,19.9,78.7,32.9,51.4,579.0,4,32.75
265,4,26,15.96,13.81,102.8,23.7,56.6,782.0,1,39.34
266,2,25,16.24,15.43,74.2,26.8,67.7,619.0,1,23.77
267,5,71,13.19,17.87,77.3,27.4,64.0,259.0,1,25.55
268,4,74,11.21,16.14,53.8,23.1,70.7,711.0,2,30.58
269,2,27,11.4,13.21,50.7,26.8,52.7,449.0,0,32.1
270,1,94,9.09,17.04,93.7,27.0,68.6,516.0,3,31.91
271,4,42,14.71,17.45,56.1,31.6,75.9,308.0,2,25.81
272,2,42,13.75,16.22,54.3,31.8,69.9,579.0,2,32.55
273,4,41,12.68,16.55,69.4,25.7,66.4,402.0,1,28.32
274,3,53,5.13,15.35,68.6,26.1,64.0,515.0,1,32.86
275,3,31,10.26,19.7,56.5,29.7,56.7,457.0,0,21.28
276,1,51,17.36,13.75,65.4,24.7,64.3,789.0,1,29.79
277,4,34,12.01,14.53,88.4,29.4,77.6,797.0,1,30.44
278,1,22,15.08,16.03,57.9,26.6,63.8,507.0,0,34.28
279,3,46,9.83,18.2,49.1,23.1,56.1,510.0,0,32.84
280,5,70,18.32,12.26,84.1,23.2,60.1,444.0,1,41.0
281,5,77,13.57,12.72,77.4,32.8,67.0,666.0,1,31.74
282,5,45,14.87,10.91,60.7,26.4,61.3,451.0,0,27.79
283,5,43,20.98,16.08,46.3,33.6,69.9,437.0,0,24.04
284,3,79,18.55,13.2,58.8,24.9,70.2,647.0,4,44.94
285,2,71,13.08,15.04,69.2,28.2,73.9,419.0,1,37.1
286,5,82,12.22,17.65,87.5,36.6,79.2,494.0,2,27.08
287,5,88,13.02,14.4,54.5,22.8,75.0,263.0,1,36.51
288,5,82,15.53,16.58,68.7,19.4,55.7,606.0,1,37.79
289,4,91,13.68,15.25,80.1,32.1,56.0,791.0,1,28.91
290,1,50,12.81,17.68,34.3,23.7,64.2,608.0,0,32.31
291,3,48,18.4,17.19,85.5,26.9,60.5,719.0,1,41.18
292,3,43,13.66,14.27,52.3,24.7,53.6,373.0,1,23.64
293,5,36,20.9,15.58,75.0,28.1,60.6,535.0,0,37.16
294,2,76,14.27,18.61,73.7,23.2,60.3,359.0,4,39.78
295,2,73,19.36,16.98,86.3,26.3,58.3,466.0,3,31.21
296,1,80,15.07,12.51,78.3,28.8,61.8,616.0,0,26.25
297,5,31,16.89,17.64,34.3,23.0,76.8,515.0,2,34.64
298,4,56,11.83,13.29,58.2,24.2,67.0,288.0,3,38.12
299,1,35,11.44,19.53,72.1,25.6,89.7,303.0,1,33.71
300,3,87,15.38,18.56,67.1,21.3,66.7,293.0,3,37.96
301,3,38,16.97,16.72,77.2,25.3,62.1,574.0,1,36.65
302,3,29,14.12,16.39,81.8,27.5,65.0,810.0,1,33.5
303,5,62,10.14,15.48,79.1,25.4,67.6,704.0,1,37.88
304,1,86,9.92,17.7,66.8,25.9,69.4,216.0,2,38.09
305,2,89,9.72,15.07,42.3,26.9,85.8,713.0,1,21.71
306,1,25,8.7,16.59,63.2,24.4,56.5,640.0,1,30.54
307,2,43,14.33,18.18,76.2,29.8,73.6,268.0,0,35.55
308,5,29,17.38,14.6,53.6,32.7,67.1,455.0,0,29.29
309,5,42,13.96,14.46,79.5,25.1,49.3,664.0,2,37.91
310,1,59,7.22,13.01,83.6,28.9,72.7,583.0,3,29.65
311,4,39,13.43,13.34,71.9,26.0,77.7,304.0,0,23.52
312,2,23,13.51,11.43,30.0,28.5,56.4,592.0,0,20.8
313,1,57,20.29,17.82,50.8,33.3,64.9,179.0,1,23.33
314,2,22,9.63,20.52,98.3,29.0,47.7,467.0,0,23.81
315,1,35,12.83,19.56,61.8,19.9,52.4,671.0,0,25.34
316,3,18,19.12,11.93,40.2,28.8,75.5,503.0,0,22.5
317,5,24,15.35,17.81,88.5,31.9,60.3,425.0,3,31.84
318,3,52,15.69,19.56,70.2,26.1,53.9,633.0,0,43.18
319,4,84,14.34,14.86,86.6,31.0,67.3,646.0,2,34.37
320,3,78,14.99,16.25,74.2,24.2,59.8,697.0,1,37.91
321,1,25,16.33,10.98,76.9,21.1,60.3,631.0,1,35.27
322,1,20,11.57,16.67,75.4,27.6,72.4,662.0,2,22.3
323,2,44,16.63,13.34,80.5,20.0,53.4,610.0,1,34.32
324,2,68,9.88,16.5,104.2,26.0,55.9,540.0,0,33.27
325,5,76,14.99,12.1,84.6,32.1,66.5,513.0,1,32.63
326,5,82,14.54,17.36,46.3,19.4,74.7,464.0,2,35.78
327,5,44,12.15,18.56,76.7,21.9,77.4,318.0,1,35.78
328,4,31,13.93,14.04,87.1,22.9,58.3,357.0,0,24.91
329,3,20,12.13,13.16,88.0,26.7,74.4,458.0,0,24.17
330,4,29,10.78,10.61,63.6,25.5,57.2,536.0,1,21.17
331,3,23,12.94,15.33,87.5,32.6,83.3,716.0,1,30.68
332,4,85,10.69,14.55,83.9,30.8,53.7,494.0,1,28.73
333,4,38,14.97,12.12,108.6,29.0,78.3,651.0,1,33.25
334,4,82,10.55,17.13,58.7,27.6,58.4,662.0,0,27.61
335,4,61,16.14,14.88,62.4,28.6,85.1,465.0,2,25.03
336,1,60,10.46,13.31,65.4,23.6,70.9,589.0,2,36.86
337,4,53,12.3,14.61,62.6,30.4,54.8,463.0,0,24.73
338,2,81,12.13,18.68,56.6,22.6,59.8,698.0,3,38.63
339,4,21,17.98,17.51,30.0,30.3,72.8,595.0,0,18.56
340,3,25,14.99,15.67,63.5,31.7,75.5,321.0,0,30.24
341,5,51,13.36,17.55,75.5,27.8,64.3,524.0,1,33.88
342,2,48,15.5,13.1,62.6,26.3,65.4,747.0,1,32.47
343,5,60,7.68,16.08,99.0,28.6,72.6,473.0,1,30.95
344,5,75,13.87,16.37,70.2,18.0,66.3,567.0,4,36.6
345,2,63,19.99,14.83,89.4,28.2,52.1,582.0,2,38.94
346,3,38,14.4,17.09,73.9,26.5,56.9,345.0,0,34.77
347,3,43,14.2,14.05,82.4,26.8,67.4,577.0,1,29.99
348,4,76,15.64,17.27,74.2,29.8,77.2,291.0,1,30.68
349,4,33,16.69,17.38,90.5,26.7,81.2,406.0,0,27.53
350,5,57,8.01,10.0,70.8,22.4,72.8,661.0,1,31.6
351,2,60,8.95,18.98,77.4,26.4,67.9,554.0,0,27.88
352,3,76,14.63,10.0,75.5,27.3,72.5,454.0,1,35.22
353,3,73,11.86,14.46,65.7,27.5,58.3,567.0,2,34.66
354,5,54,17.94,18.56,76.1,27.6,63.5,491.0,1,38.9
355,2,42,13.05,15.21,103.5,31.2,56.8,502.0,0,25.18
356,3,46,8.2,12.33,65.9,22.7,52.5,599.0,4,25.63
357,1,50,10.2,13.27,76.3,27.7,68.3,391.0,0,24.93
358,5,35,5.75,18.57,88.9,32.2,66.9,506.0,0,24.36
359,2,66,13.3,11.2,87.1,20.1,71.9,453.0,0,36.02
360,2,34,13.43,18.82,70.2,27.7,70.5,262.0,1,33.0
361,3,68,12.73,15.86,34.2,24.7,67.4,362.0,0,32.52
362,3,76,17.24,13.02,77.8,25.5,70.6,735.0,2,41.25
363,5,93,17.6,14.54,36.7,23.4,64.6,558.0,3,38.14
364,3,27,13.49,13.46,92.0,26.3,69.1,301.0,2,32.76
365,3,77,7.6,18.17,72.5,34.4,57.7,269.0,0,15.55
366,1,24,15.85,17.83,85.0,21.9,68.7,483.0,0,36.7
367,1,44,15.67,11.7,56.5,22.3,71.7,734.0,2,25.48
368,2,31,14.93,14.99,46.7,21.8,58.3,472.0,1,38.01
369,5,30,16.94,13.84,73.9,33.9,65.5,696.0,2,27.9
370,5,31,10.51,19.23,69.5,25.2,58.8,553.0,3,38.33
371,4,21,20.03,12.62,62.6,26.9,59.7,571.0,3,37.09
372,4,82,11.12,20.01,71.3,25.4,53.8,300.0,1,38.0
373,2,22,16.25,15.92,111.5,23.2,77.7,641.0,3,41.05
374,1,49,8.94,13.1,82.5,26.1,75.7,450.0,0,25.84
375,1,72,11.21,14.31,85.7,36.8,70.4,629.0,1,28.24
376,2,95,18.55,14.0,82.7,32.6,84.7,378.0,1,31.22
377,2,84,13.22,12.81,92.2,23.6,63.1,527.0,0,38.02
378,1,28,16.52,16.24,67.1,29.6,95.0,553.0,3,32.88
379,2,95,14.71,12.93,39.2,23.7,62.7,477.0,0,28.75
380,1,68,13.69,10.55,67.2,19.9,67.6,561.0,1,38.75
381,4,32,18.09,15.05,82.2,31.1,61.0,460.0,0,27.7
382,5,53,13.29,11.49,55.5,31.6,68.7,403.0,0,21.36
383,4,89,8.66,14.12,67.4,31.2,73.4,741.0,0,21.08
384,3,48,11.59,13.73,59.6,25.1,63.9,657.0,0,32.49
